,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
44,Obera,55,AR,1569181293,39,-27.49,-55.12,293.53,2.79
45,Hilo,20,US,1569181294,70,19.71,-155.08,302.15,2.6
46,Luderitz,0,NA,1569181295,45,-26.65,15.16,292.15,10.8
47,Maine-Soroa,0,NE,1569181296,15,13.21,12.02,306.53,1.99
48,Arlit,0,NE,1569181297,8,18.74,7.39,307.63,4.66
49,Zhigansk,100,RU,1569181298,92,66.77,123.37,276.53,3.46
50,Hobyo,18,SO,1569181300,83,5.35,48.53,297.33,11.64
51,Traunstein,75,DE,1569181301,82,47.87,12.64,288.15,1.0
52,Kapuskasing,90,CA,1569181302,78,49.42,-82.43,296.15,6.7
53,Stromness,20,CA,1569181303,42,42.87,-79.55,304.26,9.8
54,Contamana,0,PE,1569181304,25,-7.35,-75.01,310.43,0.82
55,Tuktoyaktuk,90,CA,1569181306,100,69.44,-133.03,277.15,4.6
56,Gillette,75,US,1569181307,39,44.29,-105.5,290.37,3.6
57,La Ronge,20,CA,1569181308,52,55.1,-105.3,294.15,3.6
58,Valdivia,0,CL,1569181309,45,-39.81,-73.25,290.15,2.1
59,San Cristobal,34,HN,1569181311,71,14.68,-86.92,299.93,1.18
60,San Patricio,45,PY,1569181312,50,-26.98,-56.83,292.53,4.01
61,Torbay,90,CA,1569181022,58,47.66,-52.73,288.71,9.8
62,Sherlovaya Gora,1,RU,1569181314,73,50.53,116.31,280.73,2.64
63,Souillac,20,FR,1569181315,82,45.6,-0.6,291.48,3.1
64,Normandin,90,CA,1569181316,78,48.84,-72.53,296.15,5.1
65,Xuanwu,0,CN,1569181318,87,32.07,118.81,292.04,1.0
66,Borda da Mata,40,BR,1569181319,57,-22.27,-46.17,300.15,6.19
67,Thompson,20,CA,1569181060,51,55.74,-97.86,290.15,1.5
68,El Alto,75,BO,1569181321,34,-16.5,-68.19,290.15,4.1
69,Colares,20,PT,1569181322,77,38.8,-9.45,293.15,2.6
70,East London,40,ZA,1569181134,76,-33.02,27.91,286.15,7.7
71,Kajaani,0,FI,1569181325,95,64.22,27.73,277.15,4.1
72,Klaksvik,25,FO,1569181326,93,62.23,-6.59,284.15,12.3
73,Port Lincoln,86,AU,1569181327,63,-34.72,135.86,285.63,6.44
74,Lasa,40,CY,1569181329,73,34.92,32.53,298.15,2.1
75,Kavieng,67,PG,1569181330,74,-2.57,150.8,300.83,2.99
76,Duvan,75,RU,1569181331,96,55.69,57.9,274.73,1.95
77,Bethel,1,US,1569181332,87,60.79,-161.76,280.15,5.1
78,Alta Floresta,0,BR,1569181333,39,-9.87,-56.08,308.15,1.0
79,Khairabad,0,AF,1569181335,49,36.84,66.1,294.63,9.72
80,Haines Junction,100,CA,1569181336,77,60.75,-137.51,277.43,2.44
81,Laguna Verde,7,MX,1569181337,63,18.63,-100.0,303.93,0.91
82,Liwale,0,TZ,1569181338,66,-9.8,37.92,291.53,4.41
83,Keningau,75,MY,1569181340,83,5.33,116.16,299.15,2.1
84,Namibe,56,AO,1569181341,83,-15.19,12.15,292.23,0.95
85,Madison,90,US,1569181221,83,43.07,-89.38,294.82,1.5
86,Hamilton,20,CA,1569181343,42,43.26,-79.87,304.26,9.8
87,Kalmunai,81,LK,1569181344,91,7.42,81.82,297.93,1.06
88,Jesup,40,US,1569181345,35,31.61,-81.89,305.93,1.5
89,Eureka,90,US,1569181053,82,40.8,-124.16,292.04,1.5
90,Zhuhai,0,CN,1569181348,71,40.71,112.04,283.15,2.0
91,Batticaloa,81,LK,1569181349,91,7.71,81.69,297.93,1.06
92,Maxixe,0,MZ,1569181350,83,-23.86,35.35,296.15,7.2
93,Anadyr,20,RU,1569181351,86,64.73,177.51,271.15,2.0
94,Mar del Plata,100,AR,1569181353,28,-46.43,-67.52,287.43,8.69
95,Vardo,20,US,1569181354,40,39.62,-77.74,306.48,3.6
96,Ulladulla,0,AU,1569181355,93,-35.36,150.48,280.37,2.6
97,Ambon,0,FR,1569181356,93,47.55,-2.56,289.26,4.1
98,Nome,90,US,1569181357,62,30.04,-94.42,305.15,4.6
99,Peqin,0,AL,1569181359,77,41.05,19.75,289.15,2.62
100,Chateaubelair,75,VC,1569181360,83,13.28,-61.25,300.15,10.3
101,Sokolovyy,8,RU,1569181361,75,51.57,45.83,279.26,3.13
102,Margate,6,AU,1569181362,75,-43.03,147.26,279.82,1.5
103,Price,1,US,1569181364,23,39.6,-110.81,294.26,2.1
104,Rocky Mountain House,26,CA,1569181365,45,52.38,-114.92,293.03,2.07
105,Big Spring,40,US,1569181366,65,32.25,-101.48,303.71,4.6
106,Guerrero Negro,0,MX,1569181367,79,27.97,-114.04,295.73,3.71
107,Ginir,95,ET,1569181369,75,7.14,40.71,290.43,0.86
108,Svetlogorsk,75,RU,1569181370,74,53.14,59.15,276.15,4.0
109,Linxia,45,CN,1569181371,61,35.6,103.21,280.43,2.09
110,Lulea,0,SE,1569181372,75,65.58,22.15,278.15,1.0
111,Stanovoye,33,RU,1569181373,76,52.76,38.34,276.03,5.92
112,Ikalamavony,0,MG,1569181375,64,-21.17,46.6,290.93,3.31
113,Kruisfontein,31,ZA,1569181376,83,-34.0,24.73,283.33,6.24
114,Cairns,75,AU,1569181224,88,-16.92,145.77,294.26,4.1
115,Cidreira,0,BR,1569181378,54,-30.17,-50.22,286.73,5.27
116,Sarkikaraagac,0,TR,1569181379,40,38.08,31.37,286.13,2.33
117,Chokurdakh,47,RU,1569181381,84,70.62,147.9,269.53,4.19
118,Tiksi,100,RU,1569181382,94,71.64,128.87,275.73,1.99
119,Hanzhong,100,CN,1569181383,80,33.08,107.03,285.73,0.21
120,Ostrovnoy,100,RU,1569181384,77,68.05,39.51,276.53,9.24
121,Bara,0,NG,1569181385,65,10.41,10.6,298.83,2.67
122,Odessa,75,US,1569181387,54,31.85,-102.37,302.59,4.6
123,Bambous Virieux,75,MU,1569181388,88,-20.34,57.76,295.37,7.7
124,Almazar,75,UZ,1569181389,31,40.32,69.01,298.15,14.0
125,Sumbe,100,AO,1569181390,86,-11.2,13.84,294.93,4.63
126,Rio Grande,20,BR,1569181392,45,-32.03,-52.1,292.15,5.1
127,Teguldet,99,RU,1569181393,77,57.31,88.17,282.03,4.06
128,Poum,0,MK,1569181394,81,41.28,20.71,285.15,1.5
129,Beyneu,0,KZ,1569181395,56,45.32,55.19,284.43,6.79
130,Brae,85,GB,1569181396,93,60.4,-1.35,284.15,5.7
131,Rawson,54,AR,1569181398,14,-43.3,-65.11,292.73,8.52
132,Constantine,75,DZ,1569181399,69,36.36,6.61,297.15,1.0
133,Yerbogachen,70,RU,1569181400,92,61.28,108.01,273.23,2.43
134,Lorengau,94,PG,1569181401,82,-2.02,147.27,298.83,1.59
135,Fortuna,20,US,1569181402,72,40.6,-124.16,293.15,3.19
136,Arawa,81,ID,1569181404,80,-3.93,119.75,298.63,7.15
137,Prado,34,CO,1569181405,36,3.75,-74.93,307.43,2.66
138,Mabaruma,100,GY,1569181406,98,8.2,-59.78,296.63,1.31
139,Santander,89,PH,1569181407,94,9.42,123.33,295.03,0.56
140,Port Macquarie,0,AU,1569181129,82,-31.43,152.91,288.71,2.6
141,Paamiut,0,GL,1569181410,80,61.99,-49.67,277.33,4.92
142,Antalaha,51,MG,1569181411,96,-14.9,50.28,289.83,1.14
143,Kyzyl-Suu,0,KG,1569181412,64,42.34,78.0,290.83,0.91
144,Hovd,0,NO,1569181413,76,63.83,10.7,282.59,5.7
145,Beringovskiy,0,RU,1569181414,53,63.05,179.32,274.73,4.46
146,Shimoda,75,JP,1569181416,94,34.7,138.93,296.15,0.5
147,Puerto del Rosario,75,ES,1569181340,83,28.5,-13.86,298.15,3.6
148,Okhansk,0,RU,1569181418,100,57.72,55.39,274.15,1.0
149,Khatanga,100,RU,1569181419,95,71.98,102.47,275.43,7.79
150,Ewa Beach,75,US,1569181421,69,21.32,-158.01,301.48,1.5
151,Alice Springs,57,AU,1569181422,26,-23.7,133.88,287.15,3.1
152,Antsohihy,0,MG,1569181423,65,-14.88,47.99,297.53,9.12
153,Moree,40,AU,1569181424,41,-29.46,149.84,288.15,4.1
154,Bethanien,0,NA,1569181426,22,-26.5,17.16,283.93,3.7
155,Nizhniy Kuranakh,1,RU,1569181427,96,58.84,125.49,274.03,2.19
156,Praya,20,ID,1569181428,88,-8.71,116.27,296.15,6.44
157,Glenluce,100,GB,1569181422,97,54.88,-4.81,287.59,2.53
158,Sousa,75,JP,1569181430,100,35.69,140.55,294.82,1.5
159,Rio Gallegos,0,AR,1569181432,45,-51.62,-69.22,282.15,4.1
160,Tomohon,1,ID,1569181433,71,1.33,124.84,299.53,3.12
161,Luanda,66,AO,1569181434,88,-8.83,13.24,296.15,3.6
162,Saint-Pierre,100,FR,1569181435,93,48.95,4.24,289.15,2.6
163,Vostok,19,RU,1569181436,87,46.45,135.83,277.13,1.45
164,Le Port,100,FR,1569181438,92,42.87,1.37,288.71,2.24
165,Skibbereen,40,IE,1569181439,82,51.55,-9.27,286.15,3.6
166,Broome,75,GB,1569181440,93,52.47,1.45,289.82,3.6
167,San Pietro Vernotico,0,IT,1569181441,64,40.49,18.0,296.48,3.6
168,Wilmington,1,US,1569181240,43,39.75,-75.55,305.37,3.1
169,Gizo,0,IL,1569181444,74,31.8,34.94,299.82,2.1
170,Vila Velha,20,BR,1569181445,61,-3.71,-38.6,301.15,6.7
171,Westport,1,US,1569181214,54,41.14,-73.36,303.71,4.1
172,Porto Novo,75,BR,1569181447,82,-23.68,-45.44,292.15,3.6
173,Aksarka,100,RU,1569181448,75,66.56,67.8,275.63,9.72
174,Sao Filipe,9,CV,1569181450,87,14.9,-24.5,299.93,8.63
175,Hearst,87,CA,1569181383,61,49.69,-83.67,294.63,4.61
176,Iskateley,0,RU,1569181452,83,67.68,53.15,272.53,2.68
177,Kupino,100,RU,1569181453,69,54.36,77.31,287.03,6.25
178,Lavrentiya,100,RU,1569181454,91,65.58,-170.99,272.53,3.18
179,Quang Ngai,24,VN,1569181456,98,15.12,108.8,292.63,1.06
180,Cabo San Lucas,90,MX,1569181340,78,22.89,-109.91,303.71,6.7
181,Grindavik,75,IS,1569181458,93,63.84,-22.43,286.15,9.3
182,Mahebourg,75,MU,1569181459,88,-20.41,57.7,295.37,7.7
183,Gopalpur,100,BD,1569181460,85,24.18,89.13,300.13,1.09
184,Akdepe,0,TM,1569181462,66,42.05,59.39,286.15,2.98
185,Healesville,90,AU,1569181463,87,-37.65,145.52,283.15,3.6
186,Angoche,0,MZ,1569181464,79,-16.23,39.91,295.43,3.21
187,Vestmannaeyjar,61,IS,1569181465,92,63.44,-20.27,283.63,12.95
188,Eyrarbakki,75,IS,1569181467,71,63.86,-21.15,286.15,4.6
189,Makakilo City,75,US,1569181170,69,21.35,-158.09,301.15,1.5
190,Terney,100,RU,1569181469,66,45.05,136.61,281.53,2.36
191,Zirandaro,1,MX,1569181470,51,18.45,-100.98,307.13,0.29
192,Neiafu,75,TO,1569181471,64,-18.65,-173.98,294.15,1.5
193,Otjiwarongo,10,NA,1569181472,23,-20.46,16.65,293.03,4.8
194,Hailin,0,CN,1569181474,87,44.57,129.38,279.63,0.62
195,Tomatlan,0,MX,1569181475,76,19.93,-105.25,302.33,3.74
196,Auki,1,NG,1569181476,52,12.18,6.51,300.43,1.8
197,Aykhal,90,RU,1569181477,74,65.95,111.51,274.15,4.0
198,Cotorra,40,CO,1569181479,62,9.04,-75.79,305.15,4.34
199,Ganzhou,0,CN,1569181480,64,25.86,114.93,289.13,2.07
200,Whitefish,1,US,1569181481,48,48.41,-114.33,292.59,3.1
201,Vila Franca do Campo,75,PT,1569181482,94,37.72,-25.43,296.15,6.7
202,Biltine,86,TD,1569181483,16,14.53,20.93,308.23,3.98
203,Oga,90,IT,1569181485,93,46.46,10.35,283.71,3.1
204,Namanga,4,KE,1569181486,71,-2.55,36.79,289.93,3.05
205,Dingli,0,IN,1569181487,69,28.39,75.51,299.83,3.31
206,Roccastrada,40,IT,1569181488,94,43.01,11.17,296.48,2.6
207,Sabang,37,PH,1569181490,91,13.8,121.11,298.71,0.45
208,Prachuap Khiri Khan,100,TH,1569181491,99,11.81,99.79,294.03,0.54
209,Santa Maria,0,BR,1569181418,23,-16.02,-48.01,307.15,2.1
210,Kichmengskiy Gorodok,48,RU,1569181493,97,59.99,45.81,271.83,2.27
211,Selkirk,75,CA,1569181494,63,50.15,-96.88,292.04,2.1
212,Cherskiy,66,RU,1569181496,93,68.75,161.3,270.93,1.67
213,Gorontalo,8,ID,1569181497,92,0.54,123.06,294.23,1.14
214,Imbituba,20,BR,1569181438,30,-28.24,-48.67,294.15,10.8
215,Ibra,64,OM,1569181499,49,22.69,58.55,297.23,1.12
216,Sakassou,49,CI,1569181500,94,7.45,-5.29,298.15,1.92
217,Praxedis Guerrero,20,MX,1569181502,57,31.37,-106.02,300.15,2.6
218,Marathon,97,CA,1569181503,59,48.72,-86.38,293.23,3.2
219,Romanu,5,RO,1569181504,34,45.29,27.74,286.15,2.1
220,Alanya,0,TR,1569181506,68,36.55,32.0,291.15,2.1
221,Ambilobe,6,MG,1569181507,69,-13.19,49.05,296.03,6.3
222,Bonthe,100,SL,1569181508,86,7.53,-12.5,298.63,2.93
223,Guilin,0,CN,1569181509,82,25.28,110.29,289.15,1.0
224,Broken Hill,0,AU,1569181510,65,-31.97,141.45,280.15,3.1
225,Kieta,100,PG,1569181512,71,-6.22,155.63,300.33,2.24
226,Sola,26,TZ,1569181513,68,-3.17,33.8,294.73,1.67
227,Semnan,0,IR,1569181514,24,35.58,53.39,300.15,1.6
228,Kampot,40,KH,1569181515,88,10.62,104.18,298.15,1.5
229,North Battleford,1,CA,1569181516,33,52.78,-108.3,298.15,5.1
230,Taoudenni,0,ML,1569181518,6,22.68,-3.98,310.23,4.26
231,Kirakira,21,SB,1569181519,76,-10.46,161.92,298.93,3.92
232,Barcelos,100,BR,1569181520,49,-0.97,-62.93,306.13,0.8
233,Kaiyuan,0,CN,1569181521,80,42.54,124.04,283.63,1.72
234,Cabot,90,US,1569181523,62,34.97,-92.02,305.15,5.1
235,Richards Bay,100,ZA,1569181524,87,-28.77,32.06,293.13,12.21
236,Ponta Delgada,75,PT,1569181525,94,37.73,-25.67,296.15,6.7
237,Santa Lucia,75,IT,1569181526,69,41.98,12.66,296.48,8.2
238,Maun,0,BW,1569181528,10,-19.99,23.42,300.15,2.6
239,Kirkcudbright,100,GB,1569181529,95,54.84,-4.04,289.26,0.89
240,Monopoli,0,IT,1569181530,73,40.95,17.3,296.48,3.6
241,Codajas,100,BR,1569181531,91,-3.84,-62.06,296.93,1.45
242,Luganville,75,VU,1569181532,78,-15.51,167.18,297.15,6.7
243,Isfana,75,KG,1569181534,31,39.84,69.53,298.15,14.0
244,Atagay,56,RU,1569181535,95,55.1,99.39,279.53,2.48
245,Iranshahr,0,IR,1569181536,22,27.21,60.69,306.15,2.1
246,Ende,65,ID,1569181537,80,-8.84,121.65,297.23,2.75
247,Calama,0,CL,1569181539,6,-22.46,-68.93,296.15,12.3
248,Wagar,0,US,1569181540,37,31.44,-87.99,305.93,2.92
249,Galle,100,GN,1569181541,98,10.08,-12.83,294.93,1.7
250,Buala,100,SB,1569181542,92,-8.15,159.59,298.43,5.19
251,Anloga,20,GH,1569181544,88,5.79,0.9,299.15,4.1
252,Ormara,0,PK,1569181545,41,25.21,64.64,302.53,0.97
253,Immokalee,75,US,1569181546,46,26.42,-81.42,305.15,7.2
254,Kloulklubed,40,PW,1569181547,94,7.04,134.26,298.15,5.18
255,Caravelas,2,BR,1569181549,78,-17.73,-39.27,297.43,3.41
256,Carutapera,1,BR,1569181550,76,-1.2,-46.02,299.83,3.79
257,Alakurtti,88,RU,1569181551,86,66.96,30.34,273.71,2.68
258,Lata,7,IN,1569181552,87,30.78,78.62,274.33,0.37
259,Petatlan,75,MX,1569181553,66,17.52,-101.27,305.15,3.6
260,Udachnyy,90,RU,1569181555,74,66.42,112.4,274.15,4.0
261,West Haven,1,US,1569181460,51,41.27,-72.95,303.71,2.6
262,Pravia,75,ES,1569181557,82,43.49,-6.11,291.48,0.5
